SECTION 1: MARKET PRICES
Run,Mean (EUR/MWH),Wtd Avg (EUR/MWH),% Hours = 0,% Hours < 0,% Hours > 100,Max (EUR/MWH),Std Dev,N Hours
germany_baseline,37.9155,38.8112,2.2,0.03,0.0,95.15,13.6201,8760
low_co2,23.6742,24.5766,6.53,1.1,0.0,79.47,12.8033,8760
high_co2,63.0162,64.3411,0.14,0.0,1.11,121.68,16.0867,8760
no_support,37.9197,38.8161,2.23,0.0,0.0,95.15,13.6132,8760
no_support_low_co2,23.786,24.6894,7.42,0.0,0.0,79.47,12.5304,8760
no_support_high_co2,63.0162,64.341,0.14,0.0,1.11,121.68,16.0867,8760
mpvar_reduced,37.9155,38.8112,2.2,0.03,0.0,95.15,13.6201,8760
mpvar_reduced_low_co2,23.6741,24.5766,6.52,1.1,0.0,79.47,12.8037,8760
mpvar_reduced_high_co2,63.0162,64.3411,0.14,0.0,1.11,121.68,16.0867,8760
fit_scenario,37.9181,38.8152,2.31,0.08,0.0,93.79,13.6256,8760
fit_only_low_co2,23.6535,24.5579,6.32,1.37,0.0,79.06,12.859,8760
fit_only_high_co2,63.0163,64.3411,0.14,0.0,1.11,121.68,16.0868,8760

SECTION 2: GENERATION MIX
Run,PV TWh,WindOn TWh,WindOff TWh,RunOfRiver TWh,Biogas TWh,OtherRES TWh,Nuclear TWh,Lignite TWh,HardCoal TWh,Gas_CCGT TWh,Gas_OCGT TWh,Oil TWh,Total TWh,RES Share %,Conv Share %,VRE Curtailment %
germany_baseline,42.04,100.115,24.377,15.924,40.327,1.431,74.892,118.083,45.887,59.584,12.069,0.138,534.866,41.92,58.08,0.058
low_co2,42.04,99.983,24.364,15.924,39.146,1.357,74.892,125.675,55.612,44.236,11.888,0.17,535.287,41.62,58.38,0.178
high_co2,42.04,100.182,24.384,15.924,40.553,1.463,74.892,104.511,37.105,79.101,14.381,0.131,534.666,42.0,58.0,0.001
no_support,42.013,99.978,24.35,15.924,40.513,1.431,74.892,118.087,45.886,59.584,12.07,0.138,534.865,41.92,58.08,0.162
no_support_low_co2,41.901,99.007,24.169,15.924,40.287,1.359,74.892,125.833,55.612,44.233,11.888,0.17,535.275,41.59,58.41,0.888
no_support_high_co2,42.039,100.179,24.383,15.924,40.558,1.463,74.892,104.512,37.105,79.101,14.381,0.131,534.666,42.0,58.0,0.004
mpvar_reduced,42.04,100.115,24.377,15.924,40.327,1.431,74.892,118.083,45.887,59.584,12.069,0.138,534.866,41.92,58.08,0.058
mpvar_reduced_low_co2,42.04,99.983,24.364,15.924,39.145,1.357,74.892,125.675,55.613,44.235,11.888,0.17,535.286,41.62,58.38,0.178
mpvar_reduced_high_co2,42.04,100.181,24.384,15.924,40.554,1.463,74.892,104.511,37.105,79.101,14.381,0.131,534.666,42.0,58.0,0.001
fit_scenario,42.04,100.182,24.384,15.924,40.255,1.43,74.892,118.082,45.889,59.581,12.069,0.138,534.864,41.92,58.08,0.019
fit_only_low_co2,42.04,100.182,24.384,15.924,38.962,1.356,74.892,125.642,55.614,44.24,11.889,0.17,535.295,41.63,58.37,0.059
fit_only_high_co2,42.04,100.182,24.384,15.924,40.553,1.463,74.892,104.511,37.105,79.101,14.381,0.131,534.666,42.0,58.0,0.001

SECTION 3: CONVENTIONAL OPERATOR PROFITABILITY
Run,Fuel,Awarded MWH,Revenue (EUR),VarCost (EUR),Gross Margin (EUR),Rev/MWH,GM/MWH,CO2 kt,GM > 0?
germany_baseline,Nuclear,74891742.0,2859099151.0,490676004.0,2368423147.0,38.1764,31.6246,0.0,YES
germany_baseline,Lignite,118083171.0,4695370431.0,4571647365.0,123723067.0,39.7632,1.0478,113259.14,YES
germany_baseline,HardCoal,45887040.0,2093795836.0,2119392353.0,-25596516.0,45.6294,-0.5578,36285.96,no
germany_baseline,Gas_CCGT,59583598.0,2623832305.0,2220343707.0,403488598.0,44.0362,6.7718,20754.76,YES
germany_baseline,Gas_OCGT,12069403.0,489894501.0,665527603.0,-175633101.0,40.5898,-14.5519,6270.97,no
germany_baseline,Oil,137635.0,3887132.0,3578561.0,308572.0,28.2424,2.242,99.08,YES
low_co2,Nuclear,74891742.0,1795686802.0,490676004.0,1305010798.0,23.9771,17.4253,0.0,YES
low_co2,Lignite,125675497.0,3118956381.0,1921491895.0,1197464487.0,24.8175,9.5282,121586.26,YES
low_co2,HardCoal,55612392.0,1701738872.0,1523528447.0,178210425.0,30.6,3.2045,44493.3,YES
low_co2,Gas_CCGT,44236037.0,1365707544.0,1260305569.0,105401976.0,30.8732,2.3827,15334.26,YES
low_co2,Gas_OCGT,11888154.0,310146962.0,506796739.0,-196649777.0,26.0887,-16.5417,6187.15,no
low_co2,Oil,170071.0,1767989.0,1417945.0,350044.0,10.3956,2.0582,124.5,YES
high_co2,Nuclear,74891742.0,4756902263.0,490676004.0,4266226259.0,63.517,56.9652,0.0,YES
high_co2,Lignite,104511339.0,6890772318.0,7999889593.0,-1109117275.0,65.9333,-10.6124,98948.9,no
high_co2,HardCoal,37104624.0,2751385680.0,2909026280.0,-157640600.0,74.1521,-4.2485,29336.04,no
high_co2,Gas_CCGT,79101172.0,5402434856.0,4114950718.0,1287484138.0,68.2978,16.2764,27823.4,YES
high_co2,Gas_OCGT,14381144.0,995440613.0,1070127978.0,-74687365.0,69.2185,-5.1934,7344.17,no
high_co2,Oil,131241.0,7771235.0,7303669.0,467566.0,59.2135,3.5627,93.03,YES
no_support,Nuclear,74891742.0,2859431861.0,490676004.0,2368755856.0,38.1809,31.6291,0.0,YES
no_support,Lignite,118086569.0,4695742578.0,4571771628.0,123970950.0,39.7653,1.0498,113262.31,YES
no_support,HardCoal,45885783.0,2093847259.0,2119327170.0,-25479912.0,45.6317,-0.5553,36284.9,no
no_support,Gas_CCGT,59583932.0,2623953998.0,2220365195.0,403588803.0,44.0379,6.7735,20754.91,YES
no_support,Gas_OCGT,12069800.0,489971127.0,665549018.0,-175577890.0,40.5948,-14.5469,6271.17,no
no_support,Oil,137813.0,3894903.0,3584847.0,310056.0,28.2623,2.2498,99.22,YES
no_support_low_co2,Nuclear,74891742.0,1803992677.0,490676004.0,1313316672.0,24.088,17.5362,0.0,YES
no_support_low_co2,Lignite,125833255.0,3128427695.0,1923978251.0,1204449444.0,24.8617,9.5718,121744.29,YES
no_support_low_co2,HardCoal,55612000.0,1702896908.0,1523506975.0,179389932.0,30.621,3.2257,44492.87,YES
no_support_low_co2,Gas_CCGT,44233137.0,1366419379.0,1260218479.0,106200900.0,30.8913,2.4009,15333.18,YES
no_support_low_co2,Gas_OCGT,11887575.0,311018400.0,506786533.0,-195768132.0,26.1633,-16.4683,6186.88,no
no_support_low_co2,Oil,170158.0,1768682.0,1419150.0,349533.0,10.3944,2.0542,124.58,YES
no_support_high_co2,Nuclear,74891742.0,4756901664.0,490676004.0,4266225659.0,63.517,56.9652,0.0,YES
no_support_high_co2,Lignite,104511533.0,6890773938.0,7999901809.0,-1109127872.0,65.9331,-10.6125,98949.05,no
no_support_high_co2,HardCoal,37104760.0,2751369926.0,2909032902.0,-157662976.0,74.1514,-4.2491,29336.07,no
no_support_high_co2,Gas_CCGT,79100993.0,5402447790.0,4114945373.0,1287502417.0,68.2981,16.2767,27823.36,YES
no_support_high_co2,Gas_OCGT,14380924.0,995416097.0,1070113471.0,-74697374.0,69.2178,-5.1942,7344.05,no
no_support_high_co2,Oil,131364.0,7775190.0,7309879.0,465311.0,59.1882,3.5422,93.11,YES
mpvar_reduced,Nuclear,74891742.0,2859099151.0,490676004.0,2368423147.0,38.1764,31.6246,0.0,YES
mpvar_reduced,Lignite,118083171.0,4695370431.0,4571647365.0,123723067.0,39.7632,1.0478,113259.14,YES
mpvar_reduced,HardCoal,45887040.0,2093795836.0,2119392353.0,-25596516.0,45.6294,-0.5578,36285.96,no
mpvar_reduced,Gas_CCGT,59583598.0,2623832305.0,2220343707.0,403488598.0,44.0362,6.7718,20754.76,YES
mpvar_reduced,Gas_OCGT,12069403.0,489894501.0,665527603.0,-175633101.0,40.5898,-14.5519,6270.97,no
mpvar_reduced,Oil,137635.0,3887132.0,3578561.0,308572.0,28.2424,2.242,99.08,YES
mpvar_reduced_low_co2,Nuclear,74891742.0,1795681412.0,490676004.0,1305005407.0,23.977,17.4252,0.0,YES
mpvar_reduced_low_co2,Lignite,125675173.0,3118922691.0,1921485009.0,1197437682.0,24.8173,9.528,121585.8,YES
mpvar_reduced_low_co2,HardCoal,55613122.0,1701763597.0,1523547009.0,178216588.0,30.6,3.2046,44493.82,YES
mpvar_reduced_low_co2,Gas_CCGT,44235376.0,1365714548.0,1260289041.0,105425507.0,30.8738,2.3833,15334.05,YES
mpvar_reduced_low_co2,Gas_OCGT,11888043.0,310142032.0,506793555.0,-196651523.0,26.0886,-16.542,6187.1,no
mpvar_reduced_low_co2,Oil,170108.0,1768628.0,1418584.0,350044.0,10.3971,2.0578,124.53,YES
mpvar_reduced_high_co2,Nuclear,74891742.0,4756902263.0,490676004.0,4266226259.0,63.517,56.9652,0.0,YES
mpvar_reduced_high_co2,Lignite,104511339.0,6890772318.0,7999889593.0,-1109117275.0,65.9333,-10.6124,98948.9,no
mpvar_reduced_high_co2,HardCoal,37104624.0,2751385680.0,2909026280.0,-157640600.0,74.1521,-4.2485,29336.04,no
mpvar_reduced_high_co2,Gas_CCGT,79101172.0,5402434856.0,4114950718.0,1287484138.0,68.2978,16.2764,27823.4,YES
mpvar_reduced_high_co2,Gas_OCGT,14381144.0,995440613.0,1070127978.0,-74687365.0,69.2185,-5.1934,7344.17,no
mpvar_reduced_high_co2,Oil,131241.0,7771235.0,7303669.0,467566.0,59.2135,3.5627,93.03,YES
fit_scenario,Nuclear,74891742.0,2859322511.0,490676004.0,2368646506.0,38.1794,31.6276,0.0,YES
fit_scenario,Lignite,118081897.0,4695796696.0,4571606608.0,124190088.0,39.7673,1.0517,113258.03,YES
fit_scenario,HardCoal,45888680.0,2094269025.0,2119547696.0,-25278671.0,45.638,-0.5509,36288.39,no
fit_scenario,Gas_CCGT,59581205.0,2624108947.0,2220278103.0,403830844.0,44.0426,6.7778,20754.14,YES
fit_scenario,Gas_OCGT,12069169.0,489888114.0,665503001.0,-175614887.0,40.59,-14.5507,6270.84,no
fit_scenario,Oil,137524.0,3883370.0,3575757.0,307612.0,28.2377,2.2368,99.01,YES
fit_only_low_co2,Nuclear,74891742.0,1793971600.0,490676004.0,1303295596.0,23.9542,17.4024,0.0,YES
fit_only_low_co2,Lignite,125642149.0,3116924642.0,1920953432.0,1195971209.0,24.808,9.5189,121551.91,YES
fit_only_low_co2,HardCoal,55614280.0,1701766612.0,1523604260.0,178162352.0,30.5995,3.2035,44495.31,YES
fit_only_low_co2,Gas_CCGT,44240065.0,1365955050.0,1260448303.0,105506746.0,30.876,2.3849,15335.74,YES
fit_only_low_co2,Gas_OCGT,11888685.0,309990222.0,506816101.0,-196825879.0,26.0744,-16.5557,6187.38,no
fit_only_low_co2,Oil,170082.0,1769170.0,1417558.0,351612.0,10.4019,2.0673,124.52,YES
fit_only_high_co2,Nuclear,74891742.0,4756907265.0,490676004.0,4266231261.0,63.5171,56.9653,0.0,YES
fit_only_high_co2,Lignite,104511411.0,6890773804.0,7999891375.0,-1109117571.0,65.9332,-10.6124,98948.92,no
fit_only_high_co2,HardCoal,37104882.0,2751380613.0,2909042322.0,-157661708.0,74.1514,-4.2491,29336.17,no
fit_only_high_co2,Gas_CCGT,79100993.0,5402456582.0,4114945373.0,1287511209.0,68.2982,16.2768,27823.36,YES
fit_only_high_co2,Gas_OCGT,14380924.0,995416768.0,1070113471.0,-74696703.0,69.2179,-5.1942,7344.05,no
fit_only_high_co2,Oil,131364.0,7775190.0,7309879.0,465311.0,59.1882,3.5422,93.11,YES

SECTION 4: RES REVENUE AND SUPPORT
